id,category,size,color,composition,description
0,Sweater,XXL,white,100% cotton,High-quality sweater with a comfortable fit.
1,Trousers,S,grey,80% wool 20% nylon,High-quality trousers with a comfortable fit.
2,Sweater,M,beige,100% wool,High-quality sweater with a comfortable fit.
3,Sweater,XXL,blue,50% cotton 50% polyester,High-quality sweater with a comfortable fit.
4,Sweater,M,navy,80% wool 20% nylon,High-quality sweater with a comfortable fit.
5,Cardigan,M,navy,50% cotton 50% polyester,High-quality cardigan with a comfortable fit.
6,Sweater,S,beige,100% acrylic,High-quality sweater with a comfortable fit.
7,Sweater,XXL,black,100% wool,High-quality sweater with a comfortable fit.
8,Sweater,XXL,white,50% cotton 50% polyester,High-quality sweater with a comfortable fit.
9,Cardigan,L,beige,100% cotton,High-quality cardigan with a comfortable fit.
10,Sweater,XL,grey,50% cotton 50% polyester,High-quality sweater with a comfortable fit.
11,Cardigan,S,black,100% acrylic,High-quality cardigan with a comfortable fit.
12,Sweater,L,white,80% wool 20% nylon,High-quality sweater with a comfortable fit.
13,Sweater,L,blue,100% acrylic,High-quality sweater with a comfortable fit.
14,Cardigan,XL,red,100% wool,High-quality cardigan with a comfortable fit.
15,Sweater,M,navy,80% wool 20% nylon,High-quality sweater with a comfortable fit.
16,Sweater,S,white,100% wool,High-quality sweater with a comfortable fit.
17,Sweater,M,grey,80% wool 20% nylon,High-quality sweater with a comfortable fit.
18,Sweater,XXL,white,100% acrylic,High-quality sweater with a comfortable fit.
19,Cardigan,L,black,100% cotton,High-quality cardigan with a comfortable fit.
20,Sweater,XL,beige,50% cotton 50% polyester,High-quality sweater with a comfortable fit.
21,Sweater,XXL,navy,100% acrylic,High-quality sweater with a comfortable fit.
22,Sweater,M,white,100% wool,High-quality sweater with a comfortable fit.
23,Cardigan,L,red,80% wool 20% nylon,High-quality cardigan with a comfortable fit.
24,Sweater,S,black,100% acrylic,High-quality sweater with a comfortable fit.
25,Sweater,XL,navy,50% cotton 50% polyester,High-quality sweater with a comfortable fit.
26,Sweater,L,grey,100% wool,High-quality sweater with a comfortable fit.
27,Cardigan,M,blue,80% wool 20% nylon,High-quality cardigan with a comfortable fit.
28,Sweater,S,white,100% wool,High-quality sweater with a comfortable fit.
29,Sweater,XL,black,100% acrylic,High-quality sweater with a comfortable fit.
30,Sweater,L,beige,50% cotton 50% polyester,High-quality sweater with a comfortable fit.
31,Cardigan,M,red,100% cotton,High-quality cardigan with a comfortable fit.
32,Sweater,XL,navy,80% wool 20% nylon,High-quality sweater with a comfortable fit.
33,Sweater,M,white,100% wool,High-quality sweater with a comfortable fit.
34,Sweater,L,blue,80% wool 20% nylon,High-quality sweater with a comfortable fit.
35,Cardigan,S,grey,100% acrylic,High-quality cardigan with a comfortable fit.
36,Sweater,M,white,50% cotton 50% polyester,High-quality sweater with a comfortable fit.
37,Sweater,XL,black,100% wool,High-quality sweater with a comfortable fit.
38,Sweater,L,navy,100% acrylic,High-quality sweater with a comfortable fit.
39,Cardigan,M,beige,50% cotton 50% polyester,High-quality cardigan with a comfortable fit.
40,Sweater,S,white,100% wool,High-quality sweater with a comfortable fit.
41,Sweater,XXL,black,80% wool 20% nylon,High-quality sweater with a comfortable fit.
42,Sweater,L,grey,100% acrylic,High-quality sweater with a comfortable fit.
